문화시설명,전시회,박물관,음악 및 무용 발표회,전통 예술 공연,연극 공연,영화 관람,대중 공연,운동 경기,가장 큰 카테고리,값,가장 많은 장소
한성대학교,0.6345611,0.63716257,0.8062525,0.8140501,0.8105211,0.8222588,0.82316685,0.7729149,대중 공연,0.82316685,2
최순우 옛집,0.61252797,0.6553686,0.8583157,0.87934065,0.89814246,0.9086755,0.8957312,0.80363435,영화 관람,0.9086755,31
아리랑도서관,0.60847026,0.6565285,0.85149556,0.87603426,0.8936952,0.9080198,0.8955077,0.8065568,영화 관람,0.9080198,31
한상수자수박물관,0.6246394,0.67650944,0.8537458,0.87426186,0.88705766,0.8980342,0.88427967,0.7967371,영화 관람,0.8980342,31
성북여성문화센터,0.6181413,0.6553182,0.85852724,0.8805034,0.89705503,0.9075159,0.89515287,0.8062717,영화 관람,0.9075159,31
개운산스포츠센터,0.6009942,0.64687365,0.8503919,0.8707597,0.8883794,0.8975529,0.8878331,0.79977334,영화 관람,0.8975529,31
문화공간 이육사,0.6370753,0.7489011,0.8217239,0.83302844,0.82329285,0.83099043,0.8292494,0.8001574,전통 예술 공연,0.83302844,1
성북구립최만린미술관,0.61677307,0.6514981,0.8506465,0.87594527,0.8928743,0.89501256,0.8891568,0.79207015,영화 관람,0.89501256,31
월곡꿈그림도서관,0.60740346,0.6528672,0.8511086,0.8730296,0.89285946,0.90782523,0.8932759,0.80286413,영화 관람,0.90782523,31
한국가구박물관,0.64098823,0.68239236,0.8388488,0.8551677,0.87120366,0.89035374,0.86762595,0.8004869,영화 관람,0.89035374,31
삼청각,0.6120485,0.66398436,0.85644543,0.8870402,0.90064293,0.907894,0.89951277,0.8042675,영화 관람,0.907894,31
성북예술창작터,0.6147331,0.64834285,0.8479091,0.8737072,0.89125764,0.8966502,0.8885338,0.79123783,영화 관람,0.8966502,31
성북선잠박물관,0.6111879,0.6559657,0.8520697,0.87969697,0.8964929,0.9081917,0.89493984,0.80037594,영화 관람,0.9081917,31
동덕여자대학교 박물관,0.5906083,0.6543343,0.8048913,0.8237703,0.84077674,0.8462343,0.8417765,0.756529,영화 관람,0.8462343,31
성신여자대학교 박물관,0.6108419,0.66477364,0.85221404,0.87389636,0.88990855,0.9046099,0.8880798,0.80235267,영화 관람,0.9046099,31
명원박물관,0.6222528,0.65617454,0.8594345,0.88757753,0.9034152,0.9089188,0.9026777,0.8054275,영화 관람,0.9089188,31
고려대학교 박물관,0.53524196,0.57842183,0.6978742,0.7177604,0.7265178,0.7199483,0.72183585,0.69469976,연극 공연,0.7265178,1
성북문화원,0.2885869,0.25437012,0.2836882,0.27088928,0.28581744,0.28145224,0.28111684,0.2993551,운동 경기,0.2993551,1
김중업 건축문화의집,0.6101776,0.6415286,0.8362656,0.8358505,0.865031,0.87551963,0.85714936,0.78132755,영화 관람,0.87551963,31
여행자극장,0.61129415,0.6477647,0.8023344,0.81314856,0.8297397,0.8513388,0.8232117,0.7818536,영화 관람,0.8513388,31
청년살이발전소,0.62514216,0.6551028,0.86459386,0.88664204,0.9027753,0.90920573,0.90007895,0.8069881,영화 관람,0.90920573,31
성북마을극장,0.60539377,0.648169,0.85120034,0.87187594,0.89658785,0.9097514,0.8929305,0.79961157,영화 관람,0.9097514,31
국민대학교 예술관,0.6228517,0.66885984,0.859151,0.88635576,0.90065384,0.9015064,0.89776963,0.8033732,영화 관람,0.9015064,31
아텔,0.5285634,0.56318486,0.6898937,0.68485045,0.7038636,0.742229,0.69722503,0.6682657,영화 관람,0.742229,31
성북구민회관,0.61858374,0.65492845,0.8608895,0.88608,0.90036774,0.91051304,0.89970434,0.8086357,영화 관람,0.91051304,31
우리옛돌박물관,0.61103296,0.6536304,0.85211253,0.8731654,0.89346653,0.9061303,0.8923314,0.7999797,영화 관람,0.9061303,31
성북정보도서관,0.61989677,0.67268777,0.85922635,0.8817126,0.8979428,0.9112705,0.89863604,0.8077314,영화 관람,0.9112705,31
공간222,0.6684776,0.7014724,0.8656746,0.89622235,0.91822433,0.9235474,0.91497415,0.83124554,영화 관람,0.9235474,31
서울성북미디어문화마루 꿈빛극장,0.5837461,0.65282977,0.797869,0.8021473,0.814083,0.80768716,0.815152,0.743675,대중 공연,0.815152,2
미인도,0.6057493,0.6454156,0.8523822,0.8719214,0.89021,0.8970993,0.88832045,0.7984188,영화 관람,0.8970993,31
천장산우화극장,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,31
성북문화예술교육센터,0.6198145,0.6533649,0.8597558,0.8843045,0.9008058,0.9097195,0.89933074,0.806916,영화 관람,0.9097195,31
돌곶이생활예술문화센터,0.5570408,0.5889635,0.74389225,0.7478415,0.75881857,0.7986975,0.76653934,0.71404505,영화 관람,0.7986975,31
뮤지엄웨이브 (구 옛돌 박물관),0.62213427,0.6595373,0.8555351,0.8783567,0.89774704,0.9075042,0.89672095,0.801329,영화 관람,0.9075042,31
아리랑 씨네센터,0.62484705,0.6929536,0.8605766,0.87796646,0.891132,0.90301704,0.88916254,0.79988575,영화 관람,0.90301704,31
미아리고개예술극장,0.5224391,0.5595031,0.7398986,0.7372321,0.7652451,0.7899224,0.76719624,0.6877988,영화 관람,0.7899224,31
